unix_ms,unity_time_s,frame_idx,condition,target_name,status,status_info,success_tracked,success_extended,pos_x_m,pos_y_m,pos_z_m,quat_x,quat_y,quat_z,quat_w,cam_pos_x_m,cam_pos_y_m,cam_pos_z_m,cam_dist_m,gt_pos_x_m,gt_pos_y_m,gt_pos_z_m,gt_quat_x,gt_quat_y,gt_quat_z,gt_quat_w,trans_err_cm,rot_err_deg,jitter_cm,jitter_deg,frame_dt_ms,fps,state_update_ms,registration_ms,e2e_since_vuforia_ms,dropped_this_frame,dropped_frames_total,unity_alloc_mb,gfx_driver_mb,graphics_memory_mb,tracking_optimization,motion_hint,tracking_mode,world_center_mode
1787287998096,1.16473734,1,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,1164.7373,0.858562648,0,,,1,1,456.91925,425.643829,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998321,1.39491189,2,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,230.174545,4.34452915,0,,,1,2,469.04895,605.519897,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998331,1.40617502,3,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,11.2630825,88.7856369,0,,,0,2,469.165161,605.426147,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998334,1.40947115,4,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,3.2961669,303.38269,0,,,0,2,469.228821,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998335,1.41106808,5,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,1.59695804,626.190552,0,,,0,2,469.211609,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998336,1.41196012,6,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.891959012,1121.12781,0,,,0,2,469.258026,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998337,1.41273284,7,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.772790968,1294.01099,0,,,0,2,469.304443,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998338,1.41331446,8,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.581583977,1719.44214,0,,,0,2,469.350983,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998338,1.41390383,9,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.589416027,1696.5946,0,,,0,2,469.397125,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998339,1.41477048,10,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.866667032,1153.8457,0,,,0,2,469.443176,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998340,1.41614068,11,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,1.37016702,729.838013,0,,,0,2,469.488647,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998342,1.41781271,12,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,1.67200005,598.086121,0,,,0,2,469.534973,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998343,1.41841018,13,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.597500026,1673.64014,0,,,0,2,469.581268,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998343,1.41901565,14,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.605457962,1651.64221,0,,,0,2,469.627869,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998344,1.41961229,15,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.596583009,1676.21265,0,,,0,2,469.674286,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998345,1.42021549,16,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.603292048,1657.57202,0,,,0,2,469.720703,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998345,1.42108297,17,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.867457986,1152.79358,0,,,0,2,469.766235,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998346,1.42172348,18,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.64054203,1561.17786,0,,,0,2,469.812347,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998347,1.42233145,19,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.60787499,1645.07507,0,,,0,2,469.857483,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998347,1.42315149,20,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.820124984,1219.32629,0,,,0,2,469.903534,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998348,1.42382789,21,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.676292002,1478.65125,0,,,0,2,469.94928,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998349,1.42452061,22,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.692749977,1443.52222,0,,,0,2,469.995819,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998349,1.42511857,23,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.59799999,1672.24072,0,,,0,2,470.042236,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998350,1.42582226,24,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.703666031,1421.12878,0,,,0,2,470.033447,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998351,1.42641795,25,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.595667005,1678.79041,0,,,0,2,470.079865,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998351,1.42702818,26,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.610208035,1638.7854,0,,,0,2,470.126282,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998352,1.42761743,27,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.58929199,1696.95166,0,,,0,2,470.172668,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998353,1.42821848,28,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.601042032,1663.77722,0,,,0,2,470.219086,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998353,1.42881739,29,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.598916054,1669.68311,0,,,0,2,470.265411,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998354,1.42941678,30,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.599417031,1668.2876,0,,,0,2,470.311798,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998354,1.43002522,31,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.608457983,1643.49878,0,,,0,2,470.357086,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998355,1.43062007,32,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.594792008,1681.26001,0,,,0,2,470.40274,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998356,1.43121397,33,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.59395802,1683.62073,0,,,0,2,470.449158,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998356,1.43180799,34,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.594042003,1683.38269,0,,,0,2,470.494781,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998357,1.43242621,35,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.618166983,1617.68591,0,,,0,2,470.541077,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998357,1.4330138,36,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.587583005,1701.88721,0,,,0,2,470.587463,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998358,1.43362355,37,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.609749973,1640.01648,0,,,0,2,470.633759,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998359,1.43421519,38,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.591666996,1690.13989,0,,,0,2,470.680176,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998359,1.43470407,39,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.488875031,2045.51257,0,,,0,2,470.726593,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998360,1.4352169,40,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.512790978,1950.1123,0,,,0,2,470.773102,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998360,1.43581796,41,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.601125002,1663.54749,0,,,0,2,470.819519,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998361,1.43641341,42,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.595375001,1679.61365,0,,,0,2,470.865814,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998361,1.43702519,43,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.61183399,1634.4303,0,,,0,2,470.912231,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998362,1.43762016,44,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.594958007,1680.79089,0,,,0,2,470.958618,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998363,1.43822002,45,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.599874973,1667.01392,0,,,0,2,471.005035,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998363,1.4388243,46,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.604292035,1654.8291,0,,,0,2,471.051453,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998364,1.43942034,47,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.596040964,1677.73706,0,,,0,2,471.097717,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998364,1.44000506,48,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.584667027,1710.37524,0,,,0,2,471.143341,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998365,1.44050491,49,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.499874979,2000.50012,0,,,0,2,471.189514,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998369,1.44494379,50,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,4.43891716,225.280167,0,,,0,2,471.235901,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998370,1.4458288,51,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.884916008,1130.05078,0,,,0,2,471.229462,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998371,1.44641244,52,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.583709002,1713.1825,0,,,0,2,471.27597,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998371,1.44701707,53,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.604665995,1653.80554,0,,,0,2,471.322235,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998372,1.4477216,54,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.704458952,1419.52905,0,,,0,2,471.368622,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998373,1.44830787,55,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.586332977,1705.5155,0,,,0,2,471.41452,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998373,1.44891977,56,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.611874998,1634.3208,0,,,0,2,471.460541,594.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998374,1.44951868,57,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.598874986,1669.79761,0,,,0,2,471.506683,590.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287998374,1.45011163,58,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.592999995,1686.3407,0,,,0,2,471.552979,590.759521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
