unix_ms,unity_time_s,frame_idx,condition,target_name,status,status_info,success_tracked,success_extended,pos_x_m,pos_y_m,pos_z_m,quat_x,quat_y,quat_z,quat_w,cam_pos_x_m,cam_pos_y_m,cam_pos_z_m,cam_dist_m,gt_pos_x_m,gt_pos_y_m,gt_pos_z_m,gt_quat_x,gt_quat_y,gt_quat_z,gt_quat_w,trans_err_cm,rot_err_deg,jitter_cm,jitter_deg,frame_dt_ms,fps,state_update_ms,registration_ms,e2e_since_vuforia_ms,dropped_this_frame,dropped_frames_total,unity_alloc_mb,gfx_driver_mb,graphics_memory_mb,tracking_optimization,motion_hint,tracking_mode,world_center_mode
1787973335388,1.09017098,1,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,1090.17102,0.91728729,0,,,1,1,563.920837,422.725586,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787973335645,1.35230863,2,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,262.137604,3.81479049,0,,,1,2,576.496338,468.004089,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787973335656,1.36531043,3,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,13.001833,76.9122314,0,,,0,2,576.614685,467.910339,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787973335661,1.37021375,4,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,4.90337515,203.941162,0,,,0,2,576.678101,457.243652,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787973335663,1.37230325,5,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,2.08941698,478.602386,0,,,0,2,576.722778,461.243652,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787973335664,1.37318349,6,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.880250037,1136.04089,0,,,0,2,576.769165,461.243652,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787973335665,1.37409556,7,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.912124991,1096.34094,0,,,0,2,576.817078,461.243652,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787973335666,1.37505937,8,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.963790953,1037.56934,0,,,0,2,576.861877,461.243652,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787973335666,1.37585378,9,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.794375002,1258.85132,0,,,0,2,576.907837,461.243652,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787973335667,1.37675345,10,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.899749994,1111.4198,0,,,0,2,576.954712,461.243652,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787973335668,1.37768126,11,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.927792013,1077.82776,0,,,0,2,577.000549,461.243652,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787973335669,1.37845933,12,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.778042018,1285.27759,0,,,0,2,577.046387,461.243652,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
