unix_ms,unity_time_s,frame_idx,condition,target_name,status,status_info,success_tracked,success_extended,pos_x_m,pos_y_m,pos_z_m,quat_x,quat_y,quat_z,quat_w,gt_pos_x_m,gt_pos_y_m,gt_pos_z_m,gt_quat_x,gt_quat_y,gt_quat_z,gt_quat_w,trans_err_cm,rot_err_deg,jitter_cm,jitter_deg,frame_dt_ms,fps,state_update_ms,registration_ms,e2e_since_vuforia_ms,dropped_this_frame,dropped_frames_total,unity_alloc_mb,gfx_driver_mb,graphics_memory_mb,tracking_optimization,motion_hint,tracking_mode,world_center_mode
1787287155718,2.17712712,477,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1.171875,853.333313,0,,0,0,2,459.988434,594.259521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287155724,2.5892272,478,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,412.100037,2.42659521,0,,412.100067,1,3,451.087738,595.431396,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287155728,2.59555864,479,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,6.33150005,157.94046,6.33144379,,418.431519,0,3,451.235291,595.431396,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287155730,2.59754848,480,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1.98970807,502.586304,1.98984146,,420.421356,0,3,451.262512,595.431396,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287155731,2.59871817,481,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1.16966701,854.944214,1.16968155,,421.591034,0,3,451.284271,595.431396,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287155732,2.59961963,482,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,0.901458025,1109.31396,0.901460648,,422.492493,0,3,451.247559,595.431396,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287155733,2.60045028,483,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,0.830832958,1203.61133,0.83065033,,423.323151,0,3,451.287689,599.431396,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287155733,2.60128498,484,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,0.834541976,1198.26208,0.834703445,,424.157867,0,3,451.304779,599.431396,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287155737,2.60451913,485,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,3.2341249,309.202637,3.23414803,,427.391998,0,3,451.221497,599.431396,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287155738,2.60578585,486,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1.26670802,789.447937,1.26671791,,428.658722,0,3,451.228027,599.431396,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287155739,2.60688972,487,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1.10404205,905.762573,1.10387802,,429.762604,0,3,451.248718,599.431396,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
