unix_ms,unity_time_s,frame_idx,condition,target_name,status,status_info,success_tracked,success_extended,pos_x_m,pos_y_m,pos_z_m,quat_x,quat_y,quat_z,quat_w,cam_pos_x_m,cam_pos_y_m,cam_pos_z_m,cam_dist_m,gt_pos_x_m,gt_pos_y_m,gt_pos_z_m,gt_quat_x,gt_quat_y,gt_quat_z,gt_quat_w,trans_err_cm,rot_err_deg,jitter_cm,jitter_deg,frame_dt_ms,fps,state_update_ms,registration_ms,e2e_since_vuforia_ms,dropped_this_frame,dropped_frames_total,unity_alloc_mb,gfx_driver_mb,graphics_memory_mb,tracking_optimization,motion_hint,tracking_mode,world_center_mode
1787288295835,1.08059692,1,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,1080.59692,0.925414443,0,,,1,1,458.377777,425.758423,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787288296068,1.31934214,2,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,238.745209,4.18856573,0,,,1,2,470.448425,605.634521,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787288296077,1.33054483,3,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,11.2026253,89.2647934,0,,,0,2,470.511139,605.540771,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787288296080,1.33345199,4,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,2.907166,343.9776,0,,,0,2,470.574463,594.874084,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787288296081,1.334831,5,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,1.37904203,725.141052,0,,,0,2,470.611328,594.874084,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787288296082,1.33581829,6,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.98725003,1012.91467,0,,,0,2,470.657257,594.874084,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787288296083,1.3366009,7,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.78262502,1277.75122,0,,,0,2,470.703674,594.874084,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787288296084,1.33727813,8,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.677249968,1476.55969,0,,,0,2,470.750275,594.874084,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787288296085,1.33837879,9,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,1.10062504,908.574646,0,,,0,2,470.796692,594.874084,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787288296086,1.33967745,10,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,1.29866707,770.020325,0,,,0,2,470.842896,594.874084,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
